TNA reference	Context: subseries title	Context: sub subseries title	scope_content	date_text	first_date	last_date	former_reference_department	note_text	closure_status	closure_type	closure_code	piece_id	cat_level
fo 881/1647			RUSSIA: Memo. Mr. E. C. Grenville-Murray. (Mr. W. G. Grey) 	Aug. 31, 1855	18550831	18550831		Bound: Mema.	O	N	30	4532228	6
fo 881/1648			AUSTRIA-HUNGARY: Further Corres. Proceedings of Anglo-Austrian Tariff Commission 	Jan. to Mar. 1869	18690101	18690331		Bound: Austria 9.	O	N	30	4525695	6
fo 881/1649			FRANCE &#38; GENERAL: Correspondence with French Government; additional to convention of 1864 on subject of wounded. Missing at transfer. See PRO 30/29/259 No 4 	21 Jan 1869	18690121	18690121		See Treasury 486	O	N	30	7814120	6
fo 881/1650			"SPAIN: Corres. ""Queen Victoria,"" captured by Spanish Revenue Cruiser ""Toro."" Part 3 "	1867-1868	18670101	18681231		Bound: Spain 7.	O	N	30	4532749	6
fo 881/1651			AUSTRIA-HUNGARY: Corres. Proceedings of Anglo-Austrian Tariff Commission 	Oct. 1867 to Dec. 1868	18671001	18681231		Bound: Austria 9.	O	N	30	4525694	6
fo 881/1652			NETHERLANDS: Draft. Treaty of Commerce 	Feb. 1866	18660201	18660228		Bound: Netherlands 9.	O	N	30	4531164	6
fo 881/1653			GERMANY: Draft. Treaty of Commerce. Mecklenburg-Schwerin 	Oct. 1865	18651001	18651031		Bound: Germany 7.	O	N	30	4529942	6
fo 881/1654			"SPAIN: Further Corres. Seizure of ""Tornado"" off Madeira by Spanish Frigate ""Gerona."" Part 11 "	1868-1869	18680101	18691231		Bound: Spain	O	N	30	4532757	6
fo 881/1655			CHINA: Corres. Revision of Treaty of Tientsin 	1867-1869	18670101	18691231		Bound: China 4.	O	N	30	4526394	6
fo 881/1656			BELGIUM: Circular. To Belgian Diplomatic Agents. Customs Union with France 	April 2, 1869	18690402	18690402		Bound: Belgium 3.	O	N	30	4525822	6
fo 881/1657			GENERAL: Report of Queens Advocate relative to legality of marriage of a British and British and Portuguese Subjects in the House of British Mission;  Validity of Marriages in Embassy Houses abroad; Remonstrance of French Govt against marriages of British and French Subjects at British Consulates in France 	Dec 3 1846 &  July 1 1849 & Sept 9 1858	18460101	18581231		Bound: L.O.R.	O	N	30	4528660	6
fo 881/1658			ITALY: Corres. Affairs of Italy. Rome. Proposed Conferences 	Sept. to Dec. 1867	18670901	18671231		Bound: Italy 12.	O	N	30	4530458	6
fo 881/1659			GENERAL: Memo. Analysis of Report of Commission on Laws of Naturalization and Allegiance. (Mr. C. S. A. Abbott) 	April 13, 1869	18690413	18690413		Bound: Mema.	O	N	30	4528823	6
fo 881/1660			GENERAL: Revised regulations for the examination of attaches in Her Majesty's supplementary service. Missing at transfer 	23 April 1869	18690423	18690423			O	N	30	7814121	6
fo 881/1661			RUSSIA: Papers. Complaints against Mr. E. C. Grenville-Murray, Consul-General at Odessa, and his Dismissal from the Public Service 	1858-1868	18580101	18681231		Bound: Russia 34.	O	N	30	4532269	6
fo 881/1662			CHINA: Corres. China, Japan, and Siam Estimates 	1869-1870	18690101	18701231		Bound: China 47.	O	N	30	4526396	6
fo 881/1663			CHINA: Desp. To Sir R. Alcock. Reductions in Diplomatic and Consular Services in China 	May 5, 1869	18690505	18690505			O	N	30	4526385	6
fo 881/1664			ABYSSINIA &amp; AFRICA: Letter. Baron von Freydorf to Mr. Cope. Memo. by Dr. Schimper. East African Slave Trade. (Regent of Tigr� sends Letter to the Queen) 	Mar 27 1869	18690327	18690327		Bound: Africa 65.	O	N	30	4524149	6
